Model,Overall,Text-image Understanding,Image Consistency,Numbers Pattern,Spatial Imagination,Text Locating,Multi-image Understanding,Knowledge,Puzzles,Transmorphic Understanding
Random,24.05,20.13,22.78,26.87,26.04,25.0,24.32,25.0,22.09,24.49
Human (Best),90.87,89.0,100.0,91.79,94.57,94.39,92.86,74.75,86.42,90.54
Human (Average),62.26,76.46,81.55,76.88,54.56,64.82,71.69,37.05,38.83,60.9
QVQ-72B-Preview,50.0,76.51,31.01,58.21,31.77,42.86,63.96,82.5,34.36,46.94
Claude-3.5-Sonnet,55.1,82.55,58.21,46.2,36.98,50.0,69.37,78.33,27.61,63.27
Step-1o,54.79,83.89,39.87,68.66,30.73,44.29,60.36,78.33,33.74,70.07
InternVL2-8B,36.15,59.06,27.22,36.57,27.08,31.43,31.53,50.83,28.22,38.78
InternVL2.5-26B-MPO,56.32,84.56,38.61,73.88,33.33,62.14,77.48,75.83,28.83,53.74
Gemini-1.5-Pro,55.1,86.58,33.54,66.42,41.67,39.29,69.37,83.33,34.36,57.82
Qwen2-VL-72B-Instruct,46.19,77.85,28.48,58.96,32.29,38.57,48.65,79.17,23.31,43.54
GPT-4o,53.81,78.52,51.9,61.94,36.98,41.43,56.76,83.33,20.25,68.03
Deepseek-VL2,45.43,76.51,31.01,57.46,31.77,44.29,36.04,70.83,26.38,44.9
InternVL2-26B,41.86,61.74,24.68,54.48,29.69,33.57,43.24,67.5,27.61,46.26
Qwen2.5-VL-72B-Instruct,49.92,79.87,27.85,60.45,37.5,52.86,54.95,73.33,27.61,48.98
SenseNova,56.85,86.58,37.97,70.9,34.38,60.0,74.77,83.33,29.45,55.78
InternVL2.5-78B-MPO,59.51,83.22,45.57,70.9,38.02,62.86,75.68,79.17,38.65,59.86
